Calming/Comforting,artist,Arousing/Sport,artist,Love,artist
Cloudless,Sigrid Vass,My Way,Calvin Harris,First Date,
Colors of the Sun,Andri Hart,Kill Room,Delta Heavy,Nightlife,
In Trutina,Marcel Depius,Hype,Dizzee Rascal,The Smell of Your Skin,
Ali,Caleufu,Just Say,"KDA, Tinashe",Love by the Sea,
Port Alex,Altan,Good Grief,Bastille,Morena,
Poets,Ciaran Delany,Sweet Lies,"Wilkinson, Karen Harding",Louisiana,
East Wind,Hannu Esaer,Ordinary,Two Door Cinema Club,Forever Young in New Orleans,
Ambar,Patagonic,Will You Be There,The Sherlocks,A Cup of Jazz ,
Sin Ropa,Calden,Want to Want Me,Miami Beatz,Romance,
Weightless,Taz Steen,Barbra Streisand,CDM Project,Sexual Healing,Marvin Gaye
Nights,Sebastian Winskog,All About That Bass,Vuducru,Let's Get It On,Marvin Gaye
Parents,Leonardo Reyes,Hot n Cold,The Gym Allstars,Go Down On You,The Memories
Dancing Feet,Sheldon Sandberg,Infinity 2008,MoodBlast,Hey Baby,Stephen Marley
Castle of Ice,Irene Weisss,Geronimo,The Gym Allstars,Kisses,The Shivers
